instance,profile,method,rule,objective,capital_cost,running_cost,hub_cost,uav_inv_cost,ugv_inv_cost,uav_trav_cost,ugv_trav_cost,num_active_hubs,num_uav_routes,num_ugv_routes,served,unserved,valid,runtime_sec,profile_policy,validation_message
instance_20260108,emergency,priority_min_slack,min_slack,2915.7222972285176,0.0,2915.7222972285176,0.0,0.0,0.0,769.7766136823807,2145.945683546137,1,2,2,56,0,True,0.01591150000000008,capital costs excluded; Eq. (1) retains UAV/UGV running costs only,All checks passed.
instance_20260109,commercial,priority_nearest,nearest,3511.491321418307,770.0,2741.491321418307,50.0,540.0,180.0,800.567678229676,1940.9236431886313,1,3,2,55,0,True,0.014485199999999976,retain amortized hub/UAV/UGV capital costs plus running costs,All checks passed.
instance_20260109,commercial,priority_edd,edd,3336.4193993106796,590.0,2746.4193993106796,50.0,360.0,180.0,800.567678229676,1945.8517210810037,1,2,2,55,0,True,0.019846999999999948,retain amortized hub/UAV/UGV capital costs plus running costs,All checks passed.
instance_20260109,commercial,priority_min_slack,min_slack,3503.0350421415824,770.0,2733.0350421415824,50.0,540.0,180.0,769.7766136823807,1963.2584284592017,1,3,2,55,0,True,0.014613200000000104,retain amortized hub/UAV/UGV capital costs plus running costs,All checks passed.
instance_20260109,emergency,priority_nearest,nearest,2741.491321418307,0.0,2741.491321418307,0.0,0.0,0.0,800.567678229676,1940.9236431886313,1,3,2,55,0,True,0.014402299999999979,capital costs excluded; Eq. (1) retains UAV/UGV running costs only,All checks passed.
instance_20260109,emergency,priority_edd,edd,2746.4193993106796,0.0,2746.4193993106796,0.0,0.0,0.0,800.567678229676,1945.8517210810037,1,2,2,55,0,True,0.019820100000000007,capital costs excluded; Eq. (1) retains UAV/UGV running costs only,All checks passed.
instance_20260109,emergency,priority_min_slack,min_slack,2733.0350421415824,0.0,2733.0350421415824,0.0,0.0,0.0,769.7766136823807,1963.2584284592017,1,3,2,55,0,True,0.014539499999999927,capital costs excluded; Eq. (1) retains UAV/UGV running costs only,All checks passed.
instance_20260110,commercial,priority_nearest,nearest,4185.074182612179,770.0,3415.07418261218,50.0,540.0,180.0,954.5230009661523,2460.5511816460275,1,3,2,62,0,True,0.0184871000000002,retain amortized hub/UAV/UGV capital costs plus running costs,All checks passed.
instance_20260110,commercial,priority_edd,edd,3520.6868113301066,590.0,2930.6868113301066,50.0,360.0,180.0,862.1498073242665,2068.53700400584,1,2,2,62,0,True,0.024407099999999904,retain amortized hub/UAV/UGV capital costs plus running costs,All checks passed.
instance_20260110,commercial,priority_min_slack,min_slack,3382.6311080981577,590.0,2792.6311080981577,50.0,360.0,180.0,862.1498073242665,1930.4813007738912,1,2,2,62,0,True,0.017117999999999967,retain amortized hub/UAV/UGV capital costs plus running costs,All checks passed.
instance_20260110,emergency,priority_nearest,nearest,3415.07418261218,0.0,3415.07418261218,0.0,0.0,0.0,954.5230009661523,2460.5511816460275,1,3,2,62,0,True,0.018436700000000084,capital costs excluded; Eq. (1) retains UAV/UGV running costs only,All checks passed.
instance_20260110,emergency,priority_edd,edd,2930.6868113301066,0.0,2930.6868113301066,0.0,0.0,0.0,862.1498073242665,2068.53700400584,1,2,2,62,0,True,0.02426769999999978,capital costs excluded; Eq. (1) retains UAV/UGV running costs only,All checks passed.
instance_20260110,emergency,priority_min_slack,min_slack,2792.6311080981577,0.0,2792.6311080981577,0.0,0.0,0.0,862.1498073242665,1930.4813007738912,1,2,2,62,0,True,0.017096400000000234,capital costs excluded; Eq. (1) retains UAV/UGV running costs only,All checks passed.
