instance,profile,method,seed,n_iter,initial_objective,objective,improvement_pct,capital_cost,running_cost,hub_cost,uav_inv_cost,ugv_inv_cost,uav_trav_cost,ugv_trav_cost,num_active_hubs,num_uav_routes,num_ugv_routes,served,unserved,feasible,valid,selected_q,time_to_best_iter,runtime_sec,wall_sec,profile_policy,cost_coefficients
instance_20260103,emergency,s_alns,42,500,3040.125702,2398.532472,21.104168,0.0,2398.532472,0.0,0.0,0.0,813.369627,1585.162845,7,7,10,55,0,True,True,8.0,304,206.194866,206.364124,capital costs excluded; Eq. (1) retains UAV/UGV running costs only,"{'cost_H': 0.0, 'cost_D_inv': 0.0, 'cost_K_inv': 0.0, 'cost_D_trav': 7.0, 'cost_K_trav': 4.0}"
instance_20260103,emergency,s_alns,7,500,3040.125702,2589.53466,14.821461,0.0,2589.53466,0.0,0.0,0.0,752.89034,1836.64432,7,6,9,55,0,True,True,8.0,230,224.624571,224.795964,capital costs excluded; Eq. (1) retains UAV/UGV running costs only,"{'cost_H': 0.0, 'cost_D_inv': 0.0, 'cost_K_inv': 0.0, 'cost_D_trav': 7.0, 'cost_K_trav': 4.0}"
instance_20260103,emergency,s_alns,123,500,3040.125702,2430.642163,20.047972,0.0,2430.642163,0.0,0.0,0.0,752.356782,1678.285381,7,6,9,55,0,True,True,8.0,459,200.955005,201.113868,capital costs excluded; Eq. (1) retains UAV/UGV running costs only,"{'cost_H': 0.0, 'cost_D_inv': 0.0, 'cost_K_inv': 0.0, 'cost_D_trav': 7.0, 'cost_K_trav': 4.0}"
instance_20260103,emergency,s_alns,2024,500,3040.125702,2423.901627,20.269691,0.0,2423.901627,0.0,0.0,0.0,783.112121,1640.789506,7,7,9,55,0,True,True,8.0,494,194.70285,194.859904,capital costs excluded; Eq. (1) retains UAV/UGV running costs only,"{'cost_H': 0.0, 'cost_D_inv': 0.0, 'cost_K_inv': 0.0, 'cost_D_trav': 7.0, 'cost_K_trav': 4.0}"
instance_20260103,emergency,s_alns,99,500,3040.125702,2425.617305,20.213256,0.0,2425.617305,0.0,0.0,0.0,836.639465,1588.97784,7,7,9,55,0,True,True,8.0,398,228.703901,228.921339,capital costs excluded; Eq. (1) retains UAV/UGV running costs only,"{'cost_H': 0.0, 'cost_D_inv': 0.0, 'cost_K_inv': 0.0, 'cost_D_trav': 7.0, 'cost_K_trav': 4.0}"
instance_20260104,commercial,baseline,42,500,4030.061871,4029.78175,0.006951,1130.0,2899.78175,50.0,900.0,180.0,831.358743,2068.423007,1,5,2,52,0,True,True,,26,121.732969,121.807486,retain amortized hub/UAV/UGV capital costs plus running costs,"{'cost_H': 50.0, 'cost_D_inv': 180.0, 'cost_K_inv': 90.0, 'cost_D_trav': 7.0, 'cost_K_trav': 4.0}"
instance_20260104,commercial,baseline,7,500,4030.061871,3927.402129,2.547349,1130.0,2797.402129,50.0,900.0,180.0,800.567678,1996.834451,1,5,2,52,0,True,True,,55,120.113157,120.209031,retain amortized hub/UAV/UGV capital costs plus running costs,"{'cost_H': 50.0, 'cost_D_inv': 180.0, 'cost_K_inv': 90.0, 'cost_D_trav': 7.0, 'cost_K_trav': 4.0}"
instance_20260104,commercial,baseline,123,500,4030.061871,3927.402129,2.547349,1130.0,2797.402129,50.0,900.0,180.0,800.567678,1996.834451,1,5,2,52,0,True,True,,220,121.188734,121.264543,retain amortized hub/UAV/UGV capital costs plus running costs,"{'cost_H': 50.0, 'cost_D_inv': 180.0, 'cost_K_inv': 90.0, 'cost_D_trav': 7.0, 'cost_K_trav': 4.0}"
instance_20260104,commercial,baseline,2024,500,4030.061871,3927.402129,2.547349,1130.0,2797.402129,50.0,900.0,180.0,800.567678,1996.834451,1,5,2,52,0,True,True,,258,118.545629,118.633202,retain amortized hub/UAV/UGV capital costs plus running costs,"{'cost_H': 50.0, 'cost_D_inv': 180.0, 'cost_K_inv': 90.0, 'cost_D_trav': 7.0, 'cost_K_trav': 4.0}"
instance_20260104,commercial,baseline,99,500,4030.061871,4029.78175,0.006951,1130.0,2899.78175,50.0,900.0,180.0,831.358743,2068.423007,1,5,2,52,0,True,True,,33,112.379212,112.452364,retain amortized hub/UAV/UGV capital costs plus running costs,"{'cost_H': 50.0, 'cost_D_inv': 180.0, 'cost_K_inv': 90.0, 'cost_D_trav': 7.0, 'cost_K_trav': 4.0}"
